Durations: Step: 18022.13ms, Load: 696.49ms, Print: 0.77ms, Logits: 0.13ms, Save: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17067.85ms, Save: 63.71ms, Load: 6.08ms, Print: 0.18ms, Logits: 0.13ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16589.25ms, Save: 63.53ms, Load: 6.66ms, Logits: 0.12ms, Print: 0.07ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17326.24ms, Save: 64.68ms, Logits: 0.12ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16715.65ms, Save: 63.54ms, Logits: 0.12ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18128.16ms, Save: 65.36ms, Load: 6.89ms, Print: 5.41ms, Logits: 0.13ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19763.25ms, Save: 66.60ms, Print: 0.18ms, Logits: 0.13ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17985.10ms, Save: 66.33ms, Print: 0.17ms, Logits: 0.14ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17885.76ms, Save: 66.00ms, Logits: 0.14ms, Print: 0.13ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3368.21ms, Save: 5.92ms, Load: 2.37ms, Print: 1.45ms, Logits: 0.12ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3515.26ms, Save: 6.21ms, Print: 3.40ms, Load: 0.68ms, Logits: 0.10ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3362.87ms, Save: 5.78ms, Logits: 0.10ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3162.50ms, Save: 5.58ms, Logits: 0.10ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 4485.31ms, Save: 5.70ms, Logits: 0.10ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2994.07ms, Save: 58.92ms, Print: 14.66ms, Load: 0.55ms, Logits: 0.25ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2995.61ms, Save: 59.94ms, Logits: 0.26ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3003.12ms, Save: 57.17ms, Logits: 0.26ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2981.92ms, Save: 58.10ms, Print: 30.91ms, Load: 0.54ms, Logits: 0.25ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2994.96ms, Save: 57.52ms, Logits: 0.25ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2991.42ms, Save: 57.78ms, Logits: 0.25ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2897.90ms, Save: 57.64ms, Print: 9.07ms, Load: 0.65ms, Logits: 0.26ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2881.31ms, Save: 57.71ms, Print: 1.71ms, Load: 0.68ms, Logits: 0.24ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2855.60ms, Save: 58.47ms, Logits: 0.24ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2877.97ms, Save: 57.81ms, Logits: 0.24ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2866.09ms, Save: 58.76ms, Logits: 0.24ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2870.95ms, Save: 59.71ms, Logits: 0.24ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2890.24ms, Save: 58.50ms, Logits: 0.24ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2878.87ms, Save: 60.17ms, Logits: 0.24ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3021.08ms, Save: 59.96ms, Logits: 0.26ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3507.83ms, Save: 58.74ms, Logits: 0.30ms, Print: 0.13ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3342.72ms, Save: 58.65ms, Logits: 0.27ms, Print: 0.09ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3077.42ms, Save: 57.21ms, Load: 0.51ms, Logits: 0.25ms, Print: 0.08ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3107.48ms, Save: 58.16ms, Logits: 0.25ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3141.50ms, Save: 57.66ms, Logits: 0.25ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3159.74ms, Save: 57.97ms, Logits: 0.25ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3172.74ms, Save: 58.66ms, Logits: 0.26ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3179.69ms, Save: 58.18ms, Logits: 0.26ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3246.81ms, Save: 61.16ms, Logits: 0.26ms, Print: 0.10ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3314.65ms, Save: 57.79ms, Load: 0.55ms, Logits: 0.26ms, Print: 0.09ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3366.00ms, Save: 58.01ms, Load: 0.50ms, Logits: 0.26ms, Print: 0.09ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2815.81ms, Save: 60.95ms, Load: 0.50ms, Logits: 0.25ms, Print: 0.07ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2889.77ms, Save: 61.33ms, Logits: 0.26ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2830.92ms, Save: 60.37ms, Logits: 0.25ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2884.34ms, Save: 64.02ms, Logits: 0.27ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2860.61ms, Save: 60.43ms, Logits: 0.25ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2839.02ms, Save: 60.95ms, Logits: 0.25ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2859.74ms, Save: 65.69ms, Logits: 0.25ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2873.74ms, Save: 63.03ms, Logits: 0.25ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2882.17ms, Save: 61.71ms, Logits: 0.25ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 2892.17ms, Save: 61.57ms, Logits: 0.26ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3085.56ms, Save: 57.96ms, Load: 0.54ms, Logits: 0.26ms, Print: 0.09ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3138.72ms, Save: 58.52ms, Logits: 0.27ms, Print: 0.09ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3243.70ms, Save: 59.14ms, Logits: 0.27ms, Print: 0.09ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3163.27ms, Save: 58.98ms, Logits: 0.26ms, Print: 0.10ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3101.77ms, Save: 58.96ms, Load: 0.52ms, Logits: 0.26ms, Print: 0.09ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3982.18ms, Save: 59.73ms, Load: 0.52ms, Logits: 0.38ms, Print: 0.10ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3793.91ms, Save: 58.71ms, Logits: 0.36ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3693.42ms, Save: 58.53ms, Logits: 0.36ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3903.20ms, Save: 57.82ms, Logits: 0.38ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3931.14ms, Save: 58.30ms, Logits: 0.38ms, Print: 0.12ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3731.23ms, Save: 58.36ms, Logits: 0.34ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 4401.66ms, Save: 63.15ms, Logits: 0.42ms, Print: 0.10ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 4434.10ms, Save: 63.52ms, Logits: 0.42ms, Print: 0.11ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3984.32ms, Save: 60.99ms, Logits: 0.41ms, Print: 0.09ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3751.28ms, Save: 61.76ms, Logits: 0.40ms, Print: 0.07ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3854.35ms, Save: 60.13ms, Logits: 0.39ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3964.66ms, Save: 61.45ms, Logits: 0.41ms, Print: 0.08ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 4051.77ms, Save: 60.75ms, Logits: 0.39ms, Print: 0.13ms, Load: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 3859.21ms, Save: 59.15ms, Load: 0.51ms, Logits: 0.39ms, Print: 0.08ms, Combine: 0.00ms, Token: 0.00ms
