2025-03-09 23:15:39 | Context Window: 8 | Step 1000 | Moving Avg Loss: 5.1204
2025-03-09 23:44:10 | Context Window: 8 | Step 2000 | Moving Avg Loss: 5.3677
2025-03-10 00:12:36 | Context Window: 8 | Step 3000 | Moving Avg Loss: 5.4466
-- training data
2025-03-10 00:48:13 | Context Window: 7 | Step 1000 | Moving Avg Loss: 5.0273
2025-03-10 01:13:29 | Context Window: 7 | Step 2000 | Moving Avg Loss: 5.1703
-- training data
2025-03-10 01:54:12 | Context Window: 7 | Step 1000 | Moving Avg Loss: 6.1151
2025-03-10 02:19:19 | Context Window: 7 | Step 2000 | Moving Avg Loss: 6.3453
2025-03-10 02:44:43 | Context Window: 7 | Step 3000 | Moving Avg Loss: 6.1668
2025-03-10 03:10:00 | Context Window: 7 | Step 4000 | Moving Avg Loss: 6.3506
-- training data
2025-03-10 03:54:20 | Context Window: 7 | Step 1000 | Moving Avg Loss: 9.9144
2025-03-10 04:19:44 | Context Window: 7 | Step 2000 | Moving Avg Loss: 9.6927
-- training data
2025-03-10 04:45:08 | Context Window: 7 | Step 1000 | Moving Avg Loss: 7.7759
2025-03-10 05:10:06 | Context Window: 7 | Step 2000 | Moving Avg Loss: 7.6799
2025-03-10 05:35:05 | Context Window: 7 | Step 3000 | Moving Avg Loss: 8.3964
2025-03-10 05:59:52 | Context Window: 7 | Step 4000 | Moving Avg Loss: 8.4129
2025-03-10 06:24:48 | Context Window: 7 | Step 5000 | Moving Avg Loss: 8.2474
2025-03-10 06:49:48 | Context Window: 7 | Step 6000 | Moving Avg Loss: 8.0212
2025-03-10 07:14:45 | Context Window: 7 | Step 7000 | Moving Avg Loss: 7.8536
2025-03-10 07:39:42 | Context Window: 7 | Step 8000 | Moving Avg Loss: 7.8536
2025-03-10 08:04:38 | Context Window: 7 | Step 9000 | Moving Avg Loss: 7.4469
2025-03-10 08:29:35 | Context Window: 7 | Step 10000 | Moving Avg Loss: 7.2260
2025-03-10 08:54:29 | Context Window: 7 | Step 11000 | Moving Avg Loss: 7.2178
2025-03-10 09:19:23 | Context Window: 7 | Step 12000 | Moving Avg Loss: 7.0761
2025-03-10 09:44:22 | Context Window: 7 | Step 13000 | Moving Avg Loss: 6.9324
2025-03-10 10:09:15 | Context Window: 7 | Step 14000 | Moving Avg Loss: 6.8004
2025-03-10 10:34:10 | Context Window: 7 | Step 15000 | Moving Avg Loss: 6.7466
2025-03-10 10:59:06 | Context Window: 7 | Step 16000 | Moving Avg Loss: 6.6475
2025-03-10 11:24:05 | Context Window: 7 | Step 17000 | Moving Avg Loss: 6.5555
2025-03-10 11:49:10 | Context Window: 7 | Step 18000 | Moving Avg Loss: 6.5659
2025-03-10 12:14:30 | Context Window: 7 | Step 19000 | Moving Avg Loss: 6.6222
2025-03-10 12:40:25 | Context Window: 7 | Step 20000 | Moving Avg Loss: 6.5234
-- training data
2025-03-10 13:09:12 | Context: 7 | LR: 0.0001 | Step 1000 | Avg Loss: 5.2566
2025-03-10 13:34:08 | Context: 7 | LR: 0.0001 | Step 2000 | Avg Loss: 4.9620
2025-03-10 13:59:02 | Context: 7 | LR: 0.0001 | Step 3000 | Avg Loss: 6.3814
2025-03-10 14:24:24 | Context: 7 | LR: 0.0001 | Step 4000 | Avg Loss: 5.5968
2025-03-10 14:49:27 | Context: 7 | LR: 0.0001 | Step 5000 | Avg Loss: 5.4644
2025-03-10 15:14:29 | Context: 7 | LR: 0.0001 | Step 6000 | Avg Loss: 5.1037
2025-03-10 15:45:26 | Context: 7 | LR: 0.0001 | Step 7000 | Avg Loss: 5.0796
2025-03-10 16:10:16 | Context: 7 | LR: 0.0001 | Step 8000 | Avg Loss: 4.5624
2025-03-10 16:35:30 | Context: 7 | LR: 0.0001 | Step 9000 | Avg Loss: 4.2773
-- moving onto discord chaos
2025-03-10 17:08:09 | Context: 7 | LR: 1e-05 | Step 1000 | Avg Loss: 12.8259
-- discord chaos again
2025-03-10 17:51:14 | Context: 7 | LR: 1e-05 | Step 1000 | Avg Loss: 13.4140
2025-03-10 18:16:32 | Context: 7 | LR: 1e-05 | Step 2000 | Avg Loss: 12.0745
2025-03-10 18:42:41 | Context: 7 | LR: 1e-05 | Step 3000 | Avg Loss: 11.3965
2025-03-10 19:09:38 | Context: 7 | LR: 1e-05 | Step 4000 | Avg Loss: 12.5422
-- discord chaos again!?
2025-03-10 19:44:19 | Context: 7 | LR: 0.0002 | Step 1000 | Avg Loss: 10.5021
2025-03-10 20:10:02 | Context: 7 | LR: 0.0002 | Step 2000 | Avg Loss: 9.7964
2025-03-10 20:35:40 | Context: 7 | LR: 0.0002 | Step 3000 | Avg Loss: 8.9085
2025-03-10 21:00:30 | Context: 7 | LR: 0.0002 | Step 4000 | Avg Loss: 8.8527
2025-03-10 21:25:00 | Context: 7 | LR: 0.0002 | Step 5000 | Avg Loss: 9.0459
2025-03-10 21:49:29 | Context: 7 | LR: 0.0002 | Step 6000 | Avg Loss: 9.4331
2025-03-10 22:14:04 | Context: 7 | LR: 0.0002 | Step 7000 | Avg Loss: 9.1874
2025-03-10 22:38:43 | Context: 7 | LR: 0.0002 | Step 8000 | Avg Loss: 6.9172
2025-03-10 23:03:24 | Context: 7 | LR: 0.0002 | Step 9000 | Avg Loss: 8.3440
2025-03-10 23:28:04 | Context: 7 | LR: 0.0002 | Step 10000 | Avg Loss: 7.6954
2025-03-10 23:52:45 | Context: 7 | LR: 0.0002 | Step 11000 | Avg Loss: 8.4106
2025-03-11 00:17:22 | Context: 7 | LR: 0.0002 | Step 12000 | Avg Loss: 8.4033
2025-03-11 00:42:02 | Context: 7 | LR: 0.0002 | Step 13000 | Avg Loss: 7.8956
2025-03-11 01:06:41 | Context: 7 | LR: 0.0002 | Step 14000 | Avg Loss: 7.3696
2025-03-11 01:31:16 | Context: 7 | LR: 0.0002 | Step 15000 | Avg Loss: 7.2744
2025-03-11 01:55:51 | Context: 7 | LR: 0.0002 | Step 16000 | Avg Loss: 7.9290
2025-03-11 02:20:30 | Context: 7 | LR: 0.0002 | Step 17000 | Avg Loss: 7.7616
2025-03-11 02:45:09 | Context: 7 | LR: 0.0002 | Step 18000 | Avg Loss: 7.3501
2025-03-11 03:09:48 | Context: 7 | LR: 0.0002 | Step 19000 | Avg Loss: 7.1190
2025-03-11 03:34:21 | Context: 7 | LR: 0.0002 | Step 20000 | Avg Loss: 7.4165
2025-03-11 03:58:55 | Context: 7 | LR: 0.0002 | Step 21000 | Avg Loss: 7.1199
2025-03-11 04:23:28 | Context: 7 | LR: 0.0002 | Step 22000 | Avg Loss: 8.3027
2025-03-11 04:48:05 | Context: 7 | LR: 0.0002 | Step 23000 | Avg Loss: 7.0183
2025-03-11 05:12:43 | Context: 7 | LR: 0.0002 | Step 24000 | Avg Loss: 7.0735
2025-03-11 05:37:28 | Context: 7 | LR: 0.0002 | Step 25000 | Avg Loss: 6.9939
2025-03-11 06:02:13 | Context: 7 | LR: 0.0002 | Step 26000 | Avg Loss: 6.8628
2025-03-11 06:26:53 | Context: 7 | LR: 0.0002 | Step 27000 | Avg Loss: 6.8250
2025-03-11 06:51:38 | Context: 7 | LR: 0.0002 | Step 28000 | Avg Loss: 6.5313
2025-03-11 07:16:21 | Context: 7 | LR: 0.0002 | Step 29000 | Avg Loss: 6.6190
2025-03-11 07:41:36 | Context: 7 | LR: 0.0002 | Step 30000 | Avg Loss: 7.4745
2025-03-11 08:07:40 | Context: 7 | LR: 0.0002 | Step 31000 | Avg Loss: 6.7027
2025-03-11 08:33:44 | Context: 7 | LR: 0.0002 | Step 32000 | Avg Loss: 6.8281
2025-03-11 08:59:16 | Context: 7 | LR: 0.0002 | Step 33000 | Avg Loss: 7.1454
2025-03-11 09:24:32 | Context: 7 | LR: 0.0002 | Step 34000 | Avg Loss: 7.2358
2025-03-11 09:49:55 | Context: 7 | LR: 0.0002 | Step 35000 | Avg Loss: 7.1990
2025-03-11 10:15:03 | Context: 7 | LR: 0.0002 | Step 36000 | Avg Loss: 6.9687
2025-03-11 10:39:52 | Context: 7 | LR: 0.0002 | Step 37000 | Avg Loss: 7.4187
2025-03-11 11:04:44 | Context: 7 | LR: 0.0002 | Step 38000 | Avg Loss: 7.7435
2025-03-11 11:29:32 | Context: 7 | LR: 0.0002 | Step 39000 | Avg Loss: 7.1433
2025-03-11 11:54:22 | Context: 7 | LR: 0.0002 | Step 40000 | Avg Loss: 6.7721
2025-03-11 12:19:08 | Context: 7 | LR: 0.0002 | Step 41000 | Avg Loss: 6.5290
2025-03-11 12:44:01 | Context: 7 | LR: 0.0002 | Step 42000 | Avg Loss: 6.5377
2025-03-11 13:08:58 | Context: 7 | LR: 0.0002 | Step 43000 | Avg Loss: 6.4021
2025-03-11 13:33:49 | Context: 7 | LR: 0.0002 | Step 44000 | Avg Loss: 7.2214
2025-03-11 13:58:43 | Context: 7 | LR: 0.0002 | Step 45000 | Avg Loss: 6.9844
2025-03-11 14:23:43 | Context: 7 | LR: 0.0002 | Step 46000 | Avg Loss: 6.6038
-- training data
2025-03-11 14:53:45 | Context: 7 | LR: 0.0002 | Step 1000 | Avg Loss: 5.0980
2025-03-11 15:18:51 | Context: 7 | LR: 0.0002 | Step 2000 | Avg Loss: 3.8809
