Durations: Step: 9548.14ms, Load: 2886.58ms, Logits: 0.10ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 10286.51ms, Load: 3482.46ms, Logits: 0.08ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18959.33ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18936.59ms, Logits: 0.13ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 21414.20ms, Logits: 0.15ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18337.90ms, Save: 66.76ms, Load: 60.77ms, Logits: 0.14ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 16810.46ms, Load: 754.63ms, Logits: 0.13ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19957.28ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 21786.18ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 21814.85ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 22517.74ms, Save: 338.82ms, Logits: 0.14ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 22619.53ms, Logits: 0.15ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19820.42ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 20608.86ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 20094.85ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19782.99ms, Save: 334.01ms, Logits: 0.14ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 19602.45ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 22170.76ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17399.54ms, Load: 713.39ms, Logits: 0.13ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 18244.92ms, Logits: 0.13ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 20318.73ms, Logits: 0.14ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 15159.16ms, Load: 691.16ms, Logits: 0.12ms, Save: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 17407.91ms, Logits: 0.15ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 20658.80ms, Logits: 0.15ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
Durations: Step: 22253.81ms, Logits: 0.15ms, Save: 0.00ms, Load: 0.00ms, Print: 0.00ms, Combine: 0.00ms, Token: 0.00ms
